# of Years on Top 10 List,Title,Reason,Link,Cover
number,string,string,string,string
9,And Tango Makes Three,"LGBTQIA+ content
","<a href='https://amzn.to/3pAz4Jb
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/51K58jv0SEL._SY371_BO1,204,203,200_.jpg"
8,The Absolutely True Diary of a Part-Time Indian,"sexual references, profanity, violence, gambling, and underage drinking, and for its religious viewpoint
","<a href='https://amzn.to/3IpCqHq
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/51poUaleECL._SX334_BO1,204,203,200_.jpg"
7,The Chocolate War,"sexual content, offensive language
","<a href='https://amzn.to/3xZ4rRi
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/51rCRwKNelL._SX294_BO1,204,203,200_.jpg"
7,The Perks of Being a Wallflower,"homosexuality, sexually explicit, unsuited to age group
","<a href='https://amzn.to/3dFSNlb
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/41CiEb1Qx2L._SX355_BO1,204,203,200_.jpg"
6,Captain Underpants series,"offensive language, unsuited to age group
","<a href='https://amzn.to/3xXf3ju
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/619BZA9+A+L._SX376_BO1,204,203,200_.jpg"
5,To Kill a Mockingbird,"violence and its use of the N-word
","<a href='https://amzn.to/32Y77mF
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/51IXWZzlgSL._SX330_BO1,204,203,200_.jpg"
5,Alice (series),"sexually explicit, unsuited to age group
","<a href='https://amzn.to/3IoHKdY
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/51euKSeXrEL._SX315_BO1,204,203,200_.jpg"
5,George,"to avoid controversy; for LGBTQIA+ content and a transgender character; because schools and libraries should not “put books in a child’s hand that require discussion”; for sexual references; and for conflicting with a religious viewpoint and “traditional family structure”
","<a href='https://amzn.to/3DxV8ca
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/31IhYveEJTL._SX342_BO1,204,203,200_.jpg"
4,The Kite Runner,"offensive language, unsuited to age group, violence
","<a href='https://amzn.to/3pweFop
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/41w7NcE7jWL._SX317_BO1,204,203,200_.jpg"
4,Looking for Alaska,"sexually explicit scene that may lead a student to “sexual experimentation”
","<a href='https://amzn.to/3dnvcW2
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/41bWeuNX4AL._SX331_BO1,204,203,200_.jpg"
4,It's Perfectly Normal,"sex education, sexually explicit
","<a href='https://amzn.to/3drZmr6
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/51W0tZO0USL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
4,I Know Why the Caged Bird Sings,"sexually explicit
","<a href='https://amzn.to/3rGtLdJ
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/41SKsBaGXRL._SX301_BO1,204,203,200_.jpg"
4,Harry Potter series,"referring to magic and witchcraft, for containing actual curses and spells, and for characters that use “nefarious means” to attain goals
","<a href='https://amzn.to/3rV6sx5
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/41mo3-FGjXL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
4,Drama,"sexually explicit
","<a href='https://amzn.to/3pw9zsh
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/51XHIr9zkhL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
4,I Am Jazz,"portrays a transgender child and because of language, sex education, and offensive viewpoints
","<a href='https://amzn.to/3IpRgxx
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/61M9P2OD5HL._SY428_BO1,204,203,200_.jpg"
4,"ttyl; ttfn; l8r, g8r (series)","offensive language, sexually explicit, unsuited to age group
","<a href='https://amzn.to/3DtXtF7
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/31XJAQF4JAL._SX357_BO1,204,203,200_.jpg"
4,The Bluest Eye,"sexually explicit, unsuited for age group. Additional reasons: “contains controversial issues”
","<a href='https://amzn.to/31yjAwM
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/41F7Yk3SyJL._SX322_BO1,204,203,200_.jpg"
4,Of Mice and Men,"racial slurs and racist stereotypes, and their negative effect on students
","<a href='https://amzn.to/3ImCebT
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/31l44Ez9RvS._SX282_BO1,204,203,200_.jpg"
4,What My Mother Doesn't Know,"sexual content, being unsuited to age group
","<a href='https://amzn.to/3pzEJPq
'>Amazon</a>","https://images-na.ssl-images-amazon.com/images/I/51HxfeVJGhL._SX331_BO1,204,203,200_.jpg"
